month negative neutral positive
01 0.2813264524539032 0.5356986611784383 0.18297488796022324
02 0.3279440041529273 0.4849655770833337 0.187090421965991
03 0.29721455253623164 0.5041100141996792 0.19867543222592599
04 0.3438613838622137 0.5068107603625952 0.14932785202251914
05 0.4219214388134097 0.4403851998084293 0.1376933639421456
06 0.3728207974092261 0.5092761275714286 0.11790307557023809
07 0.37703465958640475 0.495445269202417 0.12752006575709965
08 0.4766643366479485 0.4445665988741166 0.07876906225558712
09 0.41419118262767757 0.48254090892421825 0.10326791307611219
10 0.32113061144608296 0.5428582831797234 0.1360111089700463
11 0.3350121931956414 0.5319574324092003 0.13303038004309928
12 0.41237566185698515 0.45003372387132323 0.13759061263639705
