month negative neutral positive
01 0.40064143459846124 0.45664205743846165 0.1427165089965386
02 0.39556421234823264 0.4840806102453227 0.12035517692370057
03 0.3216296759761622 0.49770161926973633 0.18066870835899118
04 0.36274503349191156 0.46576551744852956 0.1714894513125001
05 0.4389568898218128 0.4362493912865494 0.12479371899444441
06 0.41318958709680514 0.46844382690415376 0.11836658856677325
07 0.411405448720937 0.4782072956749997 0.1103872547259375
08 0.4119216016987268 0.45496716228450124 0.13311123751910836
09 0.4677886147069765 0.4379644923611493 0.09424689119370722
10 0.4411623856209095 0.44924876234090955 0.10958885144954547
11 0.4435512320713974 0.43602790338646324 0.12042086370021826
12 0.4501509594024059 0.4404451547232627 0.10940388464318188
