month negative neutral positive
01 0.393110796349662 0.45285283399324294 0.15403636705135143
02 0.36317007422750763 0.4642882153987538 0.17254170440000008
03 0.3203490638936269 0.4918242796176467 0.18782665607859475
04 0.31238052215427003 0.49113341466115734 0.19648605847520667
05 0.36858930528989076 0.4680875546666669 0.16332313788606567
06 0.31432829255082534 0.5146023450424524 0.17106935500117942
07 0.3549082459950581 0.5069780111005814 0.13811373914244204
08 0.3713549035413247 0.49915589405362826 0.12948919856119884
09 0.3546246929195121 0.4993084305528457 0.14606688240948518
10 0.34726597094199996 0.5031514334275003 0.1495825959477501
11 0.35494739258173913 0.49724095748695674 0.14781165008376804
12 0.33967050868966675 0.4946414181400002 0.1656880746753335
