month negative neutral positive
01 0.34467085299155015 0.47326499048599946 0.18206415598129994
02 0.34058514197713036 0.47109916139200053 0.18831569770220002
03 0.38164423448028906 0.4813823955569992 0.1369733706525002
04 0.31277170398958976 0.45595650431600016 0.23127179074359983
05 0.4187420721259 0.42800635287000005 0.15325157481410007
06 0.36718172913229985 0.46833347491299926 0.16448479731800017
07 0.31971734252941036 0.5287501908490003 0.15153246551469982
08 0.3318196357967305 0.49326649323199984 0.17491387043859977
09 0.3451701920919002 0.5135546642189998 0.14127514258469995
10 0.37723814062469985 0.47768274891799944 0.14507910756430004
11 0.29520587175053 0.5441917868629996 0.16060234167289997
12 0.3716473411196402 0.462094030419 0.1662586274187999
