month negative neutral positive
01 0.42124842687089037 0.42508305217800024 0.12062699370360004
02 0.5806814592116994 0.3328243896220003 0.08649415023679999
03 0.3265294918431002 0.43883857551749955 0.2346319318763003
04 0.39189489353972984 0.421236716614 0.18686838972970005
05 0.3707791927114702 0.4258484423624994 0.20337236627869978
06 0.35345552012550047 0.4843694487870004 0.1621750309976998
07 0.3579016321561996 0.47948482385350066 0.16261354460489988
08 0.4471765002521011 0.43016997167840015 0.12265353006129993
09 0.43922081821530023 0.44621217119200013 0.11456701039040032
10 0.5192291185497004 0.37700881215500004 0.10376206961050007
11 0.3929981263344198 0.4795737869540002 0.1274280865104001
12 0.33237545806474983 0.45812161806000085 0.2095029244255001
