month negative neutral positive
01 0.3667486553657501 0.46607534580500015 0.167175999258
02 0.4525666570346297 0.4268063494060005 0.12062699370360004
03 0.40259145823341014 0.4491052119820004 0.14830332888190012
04 0.40429215997487933 0.43883857551749955 0.14862071515319994
05 0.3530365245001997 0.47659869288799983 0.17036478381729972
06 0.41214427162843004 0.44048588707950004 0.14736984075199994
07 0.32199257996854025 0.5135586507850003 0.16444876791679977
08 0.3174259409323699 0.5171969055369999 0.16537715498080008
09 0.3598606744840597 0.4909281980729998 0.14921112722290017
10 0.32230720340440006 0.5240094134649997 0.15368338295389977
11 0.2651300270794698 0.5869164992620002 0.1479534716834001
12 0.31792246677220026 0.5264827841409994 0.15559475124539995
