month negative neutral positive
01 0.4212382118710697 0.44572222485299967 0.13303956260589997
02 0.3874479935156379 0.48051905615299867 0.1320329731138007
03 0.6351123050766503 0.2902895566770002 0.07459813760409986
04 0.49352074024493964 0.36118845437100006 0.14529080516199985
05 0.5670443305592004 0.34720873951100095 0.08574692938829993
06 0.5314172897774894 0.3602692844515994 0.10831342394059999
07 0.5194490796766101 0.3629102699755 0.11764064974989981
08 0.5924696688344995 0.3175758509920003 0.08995448239929986
09 0.5038018516093005 0.3808279105320002 0.11537023874120007
10 0.5016665944640907 0.362018308464 0.13631509613270013
11 0.5969607502032294 0.3082151882391995 0.09482406398270002
12 0.5023760236182507 0.3724382190314001 0.12518575747329988
