month negative neutral positive
01 0.46167701130399913 0.41920928271070007 0.11911370843639996
02 0.5459892559771203 0.3434480866965002 0.11056265863879985
03 0.5230957297630698 0.36127181261400004 0.11563245689790001
04 0.4967992980442203 0.3918441699979994 0.1113565323306999
05 0.5677561353702297 0.3486333650980004 0.08361049737579998
06 0.5780001743525899 0.3421847831733999 0.07981504297059998
07 0.5274080524882192 0.36573476284170053 0.10685718548360011
08 0.5339715734650399 0.3538550388270002 0.11217338742460009
09 0.5765533860978501 0.35393937007100035 0.06950724273509995
10 0.5317970928285 0.3792815436009997 0.08892136281129996
11 0.5653912560164988 0.3388462850680002 0.09576245732760028
12 0.5332691914004406 0.3609834282202998 0.1057473800223999
