month negative neutral positive
01 0.5615815347704904 0.3337004113304995 0.10471805478559999
02 0.5944098367363201 0.31107004888799983 0.09452011560809999
03 0.5663157449483397 0.32610619064099977 0.10757806186719997
04 0.4948986616031996 0.3396868984069997 0.16541443819069993
05 0.5237480210515306 0.32011476718300014 0.15613720983819984
06 0.5764597436863 0.3286820977710002 0.09485815806830002
07 0.5640300784125202 0.3365430577409002 0.09942686447200014
08 0.5667801229911994 0.3379575236799996 0.09526235451140003
09 0.58452875555916 0.29984632564800023 0.11562491800090009
10 0.5545142831391294 0.3428038695745 0.10268184845330001
11 0.5500270087174097 0.33156541875099954 0.11840757226740013
12 0.546627110517421 0.3293591283896006 0.12401376125709992
