month negative neutral positive
01 0.22796265218128017 0.47937800091399907 0.2926593494509001
02 0.2032059934296802 0.5246896335140006 0.2721043750115004
03 0.24962489763385012 0.46429547100580026 0.2860796344456002
04 0.1628174557959095 0.5077725528332621 0.3294099961168998
05 0.17838014619571022 0.4790713252425005 0.34254853307809974
06 0.18345207524457757 0.5060057218160432 0.3105422052956154
07 0.24430535054087024 0.46416325789300045 0.2915313915010001
08 0.1857760034364731 0.5246213155276972 0.2896026777201248
09 0.19539248692183017 0.45710632701600123 0.3475011851163002
10 0.22602406115156115 0.5084001648738687 0.2655757748349544
11 0.22164918281218476 0.5279253025957444 0.25042551705971644
12 0.31763044237813565 0.4709693826398717 0.21140017659678453
