month negative neutral positive
01 0.19428148131437187 0.5107667875798454 0.2949517354096131
02 0.2963745786578308 0.4486636163237 0.25496179827340015
03 0.34549136684306014 0.46297448156800036 0.1915341500030004
04 0.31466659684269993 0.4762072740550006 0.20912613088519985
05 0.2250561982357952 0.46416325789300045 0.31845577470146275
06 0.25661628630535743 0.4778976023677205 0.2654861156387689
07 0.3235618493458925 0.4193088147234709 0.2571293383144822
08 0.3162118089134122 0.4507651303835621 0.23302306178679952
09 0.3248728135369598 0.45731555049599865 0.21781163484200008
10 0.2588178454965353 0.4538394635622406 0.2873426873462657
11 0.22164918281218476 0.5279253025957444 0.25042551705971644
12 0.3821912727902651 0.37739420043469407 0.24041452818938788
