month negative neutral positive
01 0.43587478980963035 0.42282326777700024 0.1413019453768002
02 0.41432100105779973 0.5011784114649992 0.08450058813869983
03 0.4279304591130302 0.4630770315899995 0.10899251005779989
04 0.45382865407429995 0.4336340251190007 0.11253731992459994
05 0.4201859219762007 0.4409529929460006 0.13886108545220008
06 0.37952358897333965 0.46310038230549994 0.1573760293695
07 0.3590851453515693 0.46081227910800093 0.18010257793459988
08 0.3030974205608602 0.45341299803249974 0.2434895828822
09 0.5234327960853005 0.3966001951350007 0.07996701038019992
10 0.40452051606284994 0.462163083666 0.1333164006992
11 0.4197685962921204 0.4393966246979993 0.14083477913010012
12 0.3887358482814005 0.4582922352645003 0.15297191857879996
