(QUERY): 'WOMEN' '03'
Negative Neutral Positive
0.7585161924362183 0.23471331596374512 0.006770462263375521 
0.4495152235031128 0.5179054737091064 0.03257931396365166 
0.3107217252254486 0.650998592376709 0.038279738277196884 
0.22941023111343384 0.605755090713501 0.16483469307422638 
0.006924300454556942 0.46655482053756714 0.5265209078788757 
0.1766723394393921 0.789573609828949 0.03375396132469177 
0.5819516777992249 0.3533821702003479 0.06466610729694366 
0.2286907136440277 0.7353658676147461 0.03594348579645157 
0.6482378840446472 0.33584263920783997 0.015919502824544907 
0.05325015261769295 0.5614414811134338 0.3853083550930023 
0.19142483174800873 0.7698327898979187 0.03874235227704048 
0.8332959413528442 0.15952549874782562 0.0071785119362175465 
0.07498142868280411 0.7492832541465759 0.17573532462120056 
0.5739841461181641 0.3969055712223053 0.029110299423336983 
0.16683262586593628 0.7691957950592041 0.06397157162427902 
0.4326941967010498 0.5335938930511475 0.03371191769838333 
0.8289474844932556 0.16241471469402313 0.008637810125946999 
0.1766723394393921 0.789573609828949 0.03375396132469177 
0.12711970508098602 0.7984964847564697 0.07438386231660843 
0.10201048105955124 0.8628669381141663 0.0351225920021534 
0.003993971273303032 0.11393318325281143 0.8820728659629822 
0.5266164541244507 0.43258002400398254 0.0408034510910511 
0.00916096568107605 0.16179899871349335 0.829039990901947 
0.6465340852737427 0.3391338586807251 0.014332029968500137 
0.1982908844947815 0.6666577458381653 0.13505133986473083 
0.888558030128479 0.10618380457162857 0.005258234217762947 
0.3196323812007904 0.6471594572067261 0.03320814296603203 
0.18827609717845917 0.7292097210884094 0.082514189183712 
0.40642672777175903 0.5399444103240967 0.053628869354724884 
0.05325015261769295 0.5614414811134338 0.3853083550930023 
0.12215890735387802 0.857928454875946 0.019912706688046455 
0.11519192159175873 0.8633553981781006 0.02145267091691494 
0.10689036548137665 0.8097175359725952 0.08339210599660873 
0.10460212826728821 0.8529660701751709 0.0424317829310894 
0.8242229223251343 0.16856519877910614 0.007211873307824135 
0.03942016884684563 0.6016165614128113 0.3589633107185364 
0.3070531487464905 0.6536715626716614 0.039275262504816055 
0.45143845677375793 0.5271825790405273 0.02137901447713375 
0.06380477547645569 0.8772291541099548 0.058966103941202164 
0.00724699767306447 0.4625357985496521 0.530217170715332 
0.45345935225486755 0.5008009076118469 0.0457397922873497 
0.0027989621739834547 0.10290558636188507 0.8942955136299133 
0.07565446943044662 0.8301616311073303 0.09418395906686783 
0.0282853152602911 0.6843199729919434 0.2873947322368622 
0.03486610949039459 0.8133106231689453 0.1518232822418213 
0.04346784949302673 0.8734932541847229 0.08303892612457275 
0.3619712293148041 0.6144288182258606 0.02359997108578682 
0.8509617447853088 0.1413421630859375 0.007696101907640696 
0.7914280891418457 0.1960487812757492 0.012523164972662926 
0.8820574283599854 0.11280190199613571 0.005140624940395355 
