month negative neutral positive
01 0.3947893912347416 0.46305877897769915 0.14215182915645544
02 0.391077732346721 0.4633933994297422 0.1455288689970727
03 0.3564308728875465 0.47617855572617757 0.1673905718651699
04 0.3262798425254498 0.47622323713399994 0.19749692143460024
05 0.3415553069712002 0.4849077393919996 0.1735369533195
06 0.34149105952899983 0.4941275096109997 0.16438143059300023
07 0.3756234564653253 0.4852351611929822 0.13914138302012383
08 0.39388390874123835 0.46212923656348354 0.14398685446736606
09 0.36091806305819985 0.5002232138680005 0.13885871994119978
10 0.5078472516218993 0.38402661691499934 0.10812613071899997
11 0.38892913080534 0.4657973945886996 0.14527347302720015
12 0.3669143705928998 0.5058209877620004 0.1272646368990999
