month negative neutral positive
01 0.39305794361801505 0.4708768459044111 0.13606521865625007
02 0.4124694527659125 0.4648427864115978 0.1226877661605374
03 0.42131189336931835 0.44008916492897737 0.13859894605823844
04 0.4127212210654959 0.44723223105917764 0.14004655004523572
05 0.5223979348892999 0.36350678084500004 0.11409528523050005
06 0.4879549468562997 0.4029315047109996 0.10911354884909981
07 0.33715851250859924 0.5090621312040006 0.15377935615790006
08 0.4481739187589996 0.45811274023200027 0.0937133399984
09 0.4167831008931994 0.4454564313700002 0.13776046823539992
10 0.3596168617025699 0.48835279346592236 0.15203034619150824
11 0.3578677462971001 0.47684182247100043 0.16529043191429996
12 0.3889010614242207 0.4640563989005033 0.1470425403928644
