month negative neutral positive
01 0.2907052952077 0.4957860803600004 0.10911354884909981
02 0.30951195801139947 0.4913735329680004 0.1991145101154998
03 0.355110927809 0.5148259232420007 0.1300631486502
04 0.3300389335205696 0.5016753227549996 0.16828574575470026
05 0.4068239417651 0.4607855753280002 0.1323904830077001
06 0.37589379778444443 0.4909700423111107 0.13313615708666673
07 0.38187984304213407 0.4819171393679894 0.13620301647701782
08 0.43670459279540413 0.4442614428496891 0.11903396406086947
09 0.36661770669815513 0.5059865784216071 0.12739571104360997
10 0.3437786940845733 0.5257707030891471 0.13045060239896641
11 0.3132896999704993 0.5258492111724656 0.16086109055658082
12 0.47245879442834565 0.4132539237214108 0.11428728573795618
