(QUERY): 'MUSLIM' '03'
Negative Neutral Positive
0.7695024609565735 0.22201290726661682 0.008484622463583946 
0.7201780080795288 0.2683541178703308 0.011467857286334038 
0.9473531246185303 0.048801589757204056 0.0038452837616205215 
0.00223071058280766 0.027025608345866203 0.970743715763092 
0.7057493329048157 0.2839062213897705 0.010344401933252811 
0.09709084033966064 0.5373658537864685 0.36554333567619324 
0.0026628358755260706 0.09835438430309296 0.8989827632904053 
0.7660642266273499 0.22586597502231598 0.008069762028753757 
0.877593457698822 0.11732981353998184 0.005076718516647816 
0.37123316526412964 0.5517790913581848 0.07698769122362137 
0.001075221225619316 0.02434106171131134 0.9745837450027466 
0.0022330780047923326 0.2978675365447998 0.699899435043335 
0.006603975780308247 0.4679749310016632 0.525421142578125 
0.14082565903663635 0.8028331995010376 0.05634118616580963 
0.7237114310264587 0.26166898012161255 0.01461960282176733 
0.0010544117540121078 0.018396439030766487 0.980549156665802 
0.4408239722251892 0.5264827609062195 0.03269331529736519 
0.784659743309021 0.20065364241600037 0.014686607755720615 
0.004614479839801788 0.19722317159175873 0.7981623411178589 
0.17768380045890808 0.7943912744522095 0.027924928814172745 
0.02325022779405117 0.8971218466758728 0.07962793856859207 
0.00252722529694438 0.38785532116889954 0.6096174716949463 
0.27567484974861145 0.6319218873977661 0.09240330010652542 
0.18765990436077118 0.7561416029930115 0.05619850382208824 
0.16852378845214844 0.6052390933036804 0.22623713314533234 
0.0011672156397253275 0.012979133054614067 0.9858536720275879 
0.17258772253990173 0.7911079525947571 0.036304324865341187 
0.004903046879917383 0.06360925734043121 0.9314877390861511 
0.5855197310447693 0.385328471660614 0.029151784256100655 
0.692015528678894 0.2965501844882965 0.011434273794293404 
0.858080267906189 0.1375446766614914 0.004375111311674118 
0.016323192045092583 0.6876298189163208 0.2960469722747803 
0.48360347747802734 0.49650901556015015 0.019887486472725868 
0.0014704923378303647 0.03868553787469864 0.9598439335823059 
0.4693320691585541 0.49268272519111633 0.03798525035381317 
0.09286060184240341 0.7892345786094666 0.11790481209754944 
0.671811580657959 0.32075929641723633 0.007429196964949369 
0.6844916343688965 0.29099854826927185 0.024509809911251068 
