(QUERY): 'AMERICAN-MUSLIM' '04'
Negative Neutral Positive
0.9386836290359497 0.05864723399281502 0.0026691670063883066 
0.9530424475669861 0.0433933325111866 0.003564225509762764 
0.0017251340905204415 0.0667436346411705 0.9315311908721924 
0.8864740133285522 0.10916213691234589 0.0043637752532958984 
0.002092448528856039 0.09291180968284607 0.9049957394599915 
0.43587225675582886 0.5015407204627991 0.06258706003427505 
0.5966556668281555 0.38840702176094055 0.014937279745936394 
0.6753169298171997 0.31347084045410156 0.011212198063731194 
0.311156690120697 0.6750293374061584 0.013813911937177181 
0.0039962902665138245 0.24485467374324799 0.7511489987373352 
0.8425617814064026 0.1547355204820633 0.0027027581818401814 
0.5506972670555115 0.44223421812057495 0.007068543694913387 
0.002136273542419076 0.030025823041796684 0.9678378701210022 
0.03366424888372421 0.254467636346817 0.7118681073188782 
0.9164257049560547 0.0773947536945343 0.006179511081427336 
0.8676828742027283 0.1260284036397934 0.006288726348429918 
0.7313937544822693 0.24322044849395752 0.02538578398525715 
0.6005331873893738 0.385670930147171 0.013795864768326283 
0.5110026001930237 0.45264920592308044 0.036348242312669754 
0.020792599767446518 0.8891619443893433 0.09004553407430649 
0.686813235282898 0.2927911579608917 0.020395580679178238 
0.003355951514095068 0.033972010016441345 0.9626720547676086 
0.9098300933837891 0.08582355827093124 0.004346340894699097 
0.38422632217407227 0.589033305644989 0.02674029767513275 
0.661446750164032 0.3269294202327728 0.011623878963291645 
0.19679586589336395 0.5621970891952515 0.2410070300102234 
0.2535632848739624 0.7210018634796143 0.025434762239456177 
0.9289304614067078 0.06729304790496826 0.0037764410953968763 
0.14865869283676147 0.500001072883606 0.35134026408195496 
0.8602767586708069 0.12992329895496368 0.00979990791529417 
0.8377332091331482 0.1539786458015442 0.008288178592920303 
0.7465070486068726 0.23942169547080994 0.014071302488446236 
0.5419601798057556 0.38394463062286377 0.07409515231847763 
0.003198035527020693 0.03980696201324463 0.9569950699806213 
0.6387292146682739 0.34724152088165283 0.014029238373041153 
0.8460022211074829 0.14764779806137085 0.006349958945065737 
0.49087947607040405 0.4658021330833435 0.04331834241747856 
0.7984583377838135 0.19529567658901215 0.006245934870094061 
0.7944566607475281 0.19116203486919403 0.014381250366568565 
0.9174207448959351 0.07804669439792633 0.00453249691054225 
0.5840721130371094 0.3861004412174225 0.02982739731669426 
0.5637927651405334 0.42235222458839417 0.013854973018169403 
0.6996555924415588 0.25196462869644165 0.048379722982645035 
0.04675666615366936 0.6461408734321594 0.3071025013923645 
0.644414484500885 0.3413452208042145 0.01424029003828764 
0.0011766913812607527 0.025383824482560158 0.9734395146369934 
0.7894233465194702 0.19822567701339722 0.012351006269454956 
0.0010739723220467567 0.02991989068686962 0.9690061807632446 
0.7735666036605835 0.20662692189216614 0.0198065135627985 
0.13450823724269867 0.4206629991531372 0.4448287785053253 
0.4187902808189392 0.5612724423408508 0.01993730664253235 
0.003197955433279276 0.13314980268478394 0.8636522889137268 
0.005589380394667387 0.7563599944114685 0.238050639629364 
0.5989601016044617 0.38642847537994385 0.014611427672207355 
0.0020193131640553474 0.044508278369903564 0.953472375869751 
0.5415621995925903 0.4086640775203705 0.04977376013994217 
0.6672906279563904 0.28294074535369873 0.04976864904165268 
0.5466726422309875 0.4435366094112396 0.009790683165192604 
0.5630124807357788 0.42580482363700867 0.011182736605405807 
0.14631888270378113 0.2836677134037018 0.5700134038925171 
0.6035065054893494 0.35095831751823425 0.04553508386015892 
0.01805225946009159 0.9386380314826965 0.04330974817276001 
0.43587225675582886 0.5015407204627991 0.06258706003427505 
0.3858703374862671 0.5758230686187744 0.03830663114786148 
0.41758960485458374 0.5505099892616272 0.031900420784950256 
0.4262665808200836 0.5498083829879761 0.02392503432929516 
